------------------------------------------------------------
Client connecting to 10.1.0.2, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[189] local 10.0.4.2 port 42590 connected with 10.1.0.2 port 5001
[ ID] Interval       Transfer     Bandwidth
[189]  0.0- 1.0 sec   640 KBytes  5.24 Mbits/sec
[189]  1.0- 2.0 sec   256 KBytes  2.10 Mbits/sec
[189]  2.0- 3.0 sec   128 KBytes  1.05 Mbits/sec
[189]  3.0- 4.0 sec   256 KBytes  2.10 Mbits/sec
[189]  4.0- 5.0 sec   384 KBytes  3.15 Mbits/sec
[189]  5.0- 6.0 sec   128 KBytes  1.05 Mbits/sec
[189]  6.0- 7.0 sec   384 KBytes  3.15 Mbits/sec
[189]  7.0- 8.0 sec   256 KBytes  2.10 Mbits/sec
[189]  8.0- 9.0 sec   128 KBytes  1.05 Mbits/sec
[189]  9.0-10.0 sec   384 KBytes  3.15 Mbits/sec
[189] 10.0-11.0 sec   256 KBytes  2.10 Mbits/sec
[189] 11.0-12.0 sec   384 KBytes  3.15 Mbits/sec
[189] 12.0-13.0 sec   128 KBytes  1.05 Mbits/sec
[189] 13.0-14.0 sec   256 KBytes  2.10 Mbits/sec
[189] 14.0-15.0 sec   384 KBytes  3.15 Mbits/sec
[189] 15.0-16.0 sec   128 KBytes  1.05 Mbits/sec
[189] 16.0-17.0 sec   384 KBytes  3.15 Mbits/sec
[189] 17.0-18.0 sec   256 KBytes  2.10 Mbits/sec
[189] 18.0-19.0 sec   384 KBytes  3.15 Mbits/sec
[189] 19.0-20.0 sec   384 KBytes  3.15 Mbits/sec
[189] 20.0-21.0 sec   256 KBytes  2.10 Mbits/sec
[189] 21.0-22.0 sec   384 KBytes  3.15 Mbits/sec
[189] 22.0-23.0 sec   256 KBytes  2.10 Mbits/sec
[189] 23.0-24.0 sec   384 KBytes  3.15 Mbits/sec
[189] 24.0-25.0 sec  0.00 Bytes  0.00 bits/sec
[189] 25.0-26.0 sec   256 KBytes  2.10 Mbits/sec
[189] 26.0-27.0 sec   384 KBytes  3.15 Mbits/sec
[189] 27.0-28.0 sec   256 KBytes  2.10 Mbits/sec
[189] 28.0-29.0 sec   384 KBytes  3.15 Mbits/sec
[189] 29.0-30.0 sec   256 KBytes  2.10 Mbits/sec
[189] 30.0-31.0 sec   384 KBytes  3.15 Mbits/sec
[189] 31.0-32.0 sec  0.00 Bytes  0.00 bits/sec
[189] 32.0-33.0 sec   256 KBytes  2.10 Mbits/sec
[189] 33.0-34.0 sec   384 KBytes  3.15 Mbits/sec
[189] 34.0-35.0 sec   256 KBytes  2.10 Mbits/sec
[189] 35.0-36.0 sec   384 KBytes  3.15 Mbits/sec
[189] 36.0-37.0 sec   256 KBytes  2.10 Mbits/sec
[189] 37.0-38.0 sec   384 KBytes  3.15 Mbits/sec
[189] 38.0-39.0 sec   256 KBytes  2.10 Mbits/sec
[189] 39.0-40.0 sec   384 KBytes  3.15 Mbits/sec
[189] 40.0-41.0 sec  0.00 Bytes  0.00 bits/sec
[189] 41.0-42.0 sec   256 KBytes  2.10 Mbits/sec
[189] 42.0-43.0 sec   256 KBytes  2.10 Mbits/sec
[189] 43.0-44.0 sec   384 KBytes  3.15 Mbits/sec
[189] 44.0-45.0 sec   256 KBytes  2.10 Mbits/sec
[189] 45.0-46.0 sec   384 KBytes  3.15 Mbits/sec
[189] 46.0-47.0 sec   256 KBytes  2.10 Mbits/sec
[189] 47.0-48.0 sec   384 KBytes  3.15 Mbits/sec
[189] 48.0-49.0 sec   256 KBytes  2.10 Mbits/sec
[189] 49.0-50.0 sec   384 KBytes  3.15 Mbits/sec
[189] 50.0-51.0 sec   256 KBytes  2.10 Mbits/sec
[189] 51.0-52.0 sec   384 KBytes  3.15 Mbits/sec
[189] 52.0-53.0 sec   256 KBytes  2.10 Mbits/sec
[189] 53.0-54.0 sec   384 KBytes  3.15 Mbits/sec
[189] 54.0-55.0 sec   256 KBytes  2.10 Mbits/sec
[189] 55.0-56.0 sec   384 KBytes  3.15 Mbits/sec
[189] 56.0-57.0 sec   256 KBytes  2.10 Mbits/sec
[189] 57.0-58.0 sec   384 KBytes  3.15 Mbits/sec
[189] 58.0-59.0 sec   256 KBytes  2.10 Mbits/sec
[189] 59.0-60.0 sec   384 KBytes  3.15 Mbits/sec
[189] 60.0-61.0 sec   256 KBytes  2.10 Mbits/sec
[189] 61.0-62.0 sec   384 KBytes  3.15 Mbits/sec
[189] 62.0-63.0 sec   256 KBytes  2.10 Mbits/sec
[189] 63.0-64.0 sec   384 KBytes  3.15 Mbits/sec
[189] 64.0-65.0 sec   256 KBytes  2.10 Mbits/sec
[189] 65.0-66.0 sec   384 KBytes  3.15 Mbits/sec
[189] 66.0-67.0 sec   256 KBytes  2.10 Mbits/sec
[189] 67.0-68.0 sec   384 KBytes  3.15 Mbits/sec
[189] 68.0-69.0 sec   256 KBytes  2.10 Mbits/sec
[189] 69.0-70.0 sec   384 KBytes  3.15 Mbits/sec
[189] 70.0-71.0 sec   256 KBytes  2.10 Mbits/sec
[189] 71.0-72.0 sec   512 KBytes  4.19 Mbits/sec
[189] 72.0-73.0 sec   256 KBytes  2.10 Mbits/sec
[189] 73.0-74.0 sec   384 KBytes  3.15 Mbits/sec
[189] 74.0-75.0 sec   256 KBytes  2.10 Mbits/sec
[189] 75.0-76.0 sec   384 KBytes  3.15 Mbits/sec
[189] 76.0-77.0 sec   256 KBytes  2.10 Mbits/sec
[189] 77.0-78.0 sec   256 KBytes  2.10 Mbits/sec
[189] 78.0-79.0 sec   384 KBytes  3.15 Mbits/sec
[189] 79.0-80.0 sec   256 KBytes  2.10 Mbits/sec
[189] 80.0-81.0 sec   384 KBytes  3.15 Mbits/sec
[189] 81.0-82.0 sec   256 KBytes  2.10 Mbits/sec
[189] 82.0-83.0 sec   384 KBytes  3.15 Mbits/sec
[189] 83.0-84.0 sec   256 KBytes  2.10 Mbits/sec
[189] 84.0-85.0 sec   384 KBytes  3.15 Mbits/sec
[189] 85.0-86.0 sec   384 KBytes  3.15 Mbits/sec
[189] 86.0-87.0 sec   256 KBytes  2.10 Mbits/sec
[189] 87.0-88.0 sec   384 KBytes  3.15 Mbits/sec
[189] 88.0-89.0 sec   256 KBytes  2.10 Mbits/sec
[189] 89.0-90.0 sec   384 KBytes  3.15 Mbits/sec
[189] 90.0-91.0 sec  0.00 Bytes  0.00 bits/sec
[189] 91.0-92.0 sec  0.00 Bytes  0.00 bits/sec
[189] 92.0-93.0 sec  0.00 Bytes  0.00 bits/sec
[189] 93.0-94.0 sec  0.00 Bytes  0.00 bits/sec
[189] 94.0-95.0 sec  0.00 Bytes  0.00 bits/sec
[189] 95.0-96.0 sec  0.00 Bytes  0.00 bits/sec
[189] 96.0-97.0 sec  0.00 Bytes  0.00 bits/sec
[189] 97.0-98.0 sec  0.00 Bytes  0.00 bits/sec
[189] 98.0-99.0 sec  0.00 Bytes  0.00 bits/sec
[189] 99.0-100.0 sec  0.00 Bytes  0.00 bits/sec
[189] 100.0-101.0 sec  0.00 Bytes  0.00 bits/sec
[189] 101.0-102.0 sec  0.00 Bytes  0.00 bits/sec
[189] 102.0-103.0 sec  0.00 Bytes  0.00 bits/sec
[189] 103.0-104.0 sec  0.00 Bytes  0.00 bits/sec
[189] 104.0-105.0 sec  0.00 Bytes  0.00 bits/sec
[189] 105.0-106.0 sec  0.00 Bytes  0.00 bits/sec
[189] 106.0-107.0 sec  0.00 Bytes  0.00 bits/sec
[189] 107.0-108.0 sec  0.00 Bytes  0.00 bits/sec
[189] 108.0-109.0 sec  0.00 Bytes  0.00 bits/sec
[189] 109.0-110.0 sec  0.00 Bytes  0.00 bits/sec
[189] 110.0-111.0 sec  0.00 Bytes  0.00 bits/sec
[189] 111.0-112.0 sec  1.12 MBytes  9.44 Mbits/sec
[189] 112.0-113.0 sec   640 KBytes  5.24 Mbits/sec
[189] 113.0-114.0 sec   256 KBytes  2.10 Mbits/sec
[189] 114.0-115.0 sec   640 KBytes  5.24 Mbits/sec
[189] 115.0-116.0 sec   640 KBytes  5.24 Mbits/sec
[189] 116.0-117.0 sec   640 KBytes  5.24 Mbits/sec
[189] 117.0-118.0 sec   640 KBytes  5.24 Mbits/sec
[189] 118.0-119.0 sec   640 KBytes  5.24 Mbits/sec
[189] 119.0-120.0 sec   640 KBytes  5.24 Mbits/sec
[189] 120.0-121.0 sec   640 KBytes  5.24 Mbits/sec
[189] 121.0-122.0 sec   640 KBytes  5.24 Mbits/sec
[189] 122.0-123.0 sec   256 KBytes  2.10 Mbits/sec
[189] 123.0-124.0 sec   640 KBytes  5.24 Mbits/sec
[189] 124.0-125.0 sec   640 KBytes  5.24 Mbits/sec
[189] 125.0-126.0 sec   640 KBytes  5.24 Mbits/sec
[189] 126.0-127.0 sec   640 KBytes  5.24 Mbits/sec
[189] 127.0-128.0 sec   640 KBytes  5.24 Mbits/sec
[189] 128.0-129.0 sec   384 KBytes  3.15 Mbits/sec
[189] 129.0-130.0 sec   640 KBytes  5.24 Mbits/sec
[189] 130.0-131.0 sec   640 KBytes  5.24 Mbits/sec
[189] 131.0-132.0 sec   640 KBytes  5.24 Mbits/sec
[189] 132.0-133.0 sec   640 KBytes  5.24 Mbits/sec
[189] 133.0-134.0 sec   640 KBytes  5.24 Mbits/sec
[189] 134.0-135.0 sec   896 KBytes  7.34 Mbits/sec
[189] 135.0-136.0 sec  1.00 MBytes  8.39 Mbits/sec
[189] 136.0-137.0 sec   896 KBytes  7.34 Mbits/sec
[189] 137.0-138.0 sec  1.00 MBytes  8.39 Mbits/sec
[189] 138.0-139.0 sec   896 KBytes  7.34 Mbits/sec
[189] 139.0-140.0 sec   896 KBytes  7.34 Mbits/sec
[189] 140.0-141.0 sec  1.00 MBytes  8.39 Mbits/sec
[189] 141.0-142.0 sec   896 KBytes  7.34 Mbits/sec
[189] 142.0-143.0 sec  1.00 MBytes  8.39 Mbits/sec
[189] 143.0-144.0 sec   896 KBytes  7.34 Mbits/sec
[189] 144.0-145.0 sec  1.00 MBytes  8.39 Mbits/sec
[189] 145.0-146.0 sec   640 KBytes  5.24 Mbits/sec
[189] 146.0-147.0 sec   640 KBytes  5.24 Mbits/sec
[189] 147.0-148.0 sec   640 KBytes  5.24 Mbits/sec
[189] 148.0-149.0 sec   640 KBytes  5.24 Mbits/sec
[189] 149.0-150.0 sec  1.12 MBytes  9.44 Mbits/sec
[189] 150.0-151.0 sec  1.25 MBytes  10.5 Mbits/sec
[189] 151.0-152.0 sec   640 KBytes  5.24 Mbits/sec
[189] 152.0-153.0 sec   640 KBytes  5.24 Mbits/sec
[189] 153.0-154.0 sec   640 KBytes  5.24 Mbits/sec
[189] 154.0-155.0 sec   640 KBytes  5.24 Mbits/sec
[189] 155.0-156.0 sec   640 KBytes  5.24 Mbits/sec
[189] 156.0-157.0 sec   640 KBytes  5.24 Mbits/sec
[189] 157.0-158.0 sec   640 KBytes  5.24 Mbits/sec
[189] 158.0-159.0 sec   512 KBytes  4.19 Mbits/sec
[189] 159.0-160.0 sec   768 KBytes  6.29 Mbits/sec
[189] 160.0-161.0 sec   640 KBytes  5.24 Mbits/sec
[189] 161.0-162.0 sec   640 KBytes  5.24 Mbits/sec
[189] 162.0-163.0 sec   640 KBytes  5.24 Mbits/sec
[189] 163.0-164.0 sec  1.00 MBytes  8.39 Mbits/sec
[189] 164.0-165.0 sec   640 KBytes  5.24 Mbits/sec
[189] 165.0-166.0 sec   640 KBytes  5.24 Mbits/sec
[189] 166.0-167.0 sec   768 KBytes  6.29 Mbits/sec
[189] 167.0-168.0 sec   768 KBytes  6.29 Mbits/sec
[189] 168.0-169.0 sec   640 KBytes  5.24 Mbits/sec
[189] 169.0-170.0 sec   640 KBytes  5.24 Mbits/sec
[189] 170.0-171.0 sec   640 KBytes  5.24 Mbits/sec
[189] 171.0-172.0 sec   640 KBytes  5.24 Mbits/sec
[189] 172.0-173.0 sec   640 KBytes  5.24 Mbits/sec
[189] 173.0-174.0 sec   896 KBytes  7.34 Mbits/sec
[189] 174.0-175.0 sec  1.00 MBytes  8.39 Mbits/sec
[189] 175.0-176.0 sec   640 KBytes  5.24 Mbits/sec
[189] 176.0-177.0 sec   896 KBytes  7.34 Mbits/sec
