------------------------------------------------------------
Client connecting to 10.6.5.2, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[189] local 10.2.4.2 port 54932 connected with 10.6.5.2 port 5001
[ ID] Interval       Transfer     Bandwidth
[189] 90.0-91.0 sec  0.00 Bytes  0.00 bits/sec
[189] 91.0-92.0 sec  0.00 Bytes  0.00 bits/sec
[189] 92.0-93.0 sec  0.00 Bytes  0.00 bits/sec
[189] 93.0-94.0 sec  0.00 Bytes  0.00 bits/sec
[189] 94.0-95.0 sec  0.00 Bytes  0.00 bits/sec
[189] 95.0-96.0 sec  0.00 Bytes  0.00 bits/sec
[189] 96.0-97.0 sec  0.00 Bytes  0.00 bits/sec
[189] 97.0-98.0 sec  0.00 Bytes  0.00 bits/sec
[189] 98.0-99.0 sec  0.00 Bytes  0.00 bits/sec
[189] 99.0-100.0 sec  0.00 Bytes  0.00 bits/sec
[189] 100.0-101.0 sec  0.00 Bytes  0.00 bits/sec
[189] 101.0-102.0 sec  0.00 Bytes  0.00 bits/sec
[189] 102.0-103.0 sec  0.00 Bytes  0.00 bits/sec
[189] 103.0-104.0 sec  0.00 Bytes  0.00 bits/sec
[189] 104.0-105.0 sec  0.00 Bytes  0.00 bits/sec
[189] 105.0-106.0 sec  0.00 Bytes  0.00 bits/sec
[189] 106.0-107.0 sec  0.00 Bytes  0.00 bits/sec
[189] 107.0-108.0 sec  0.00 Bytes  0.00 bits/sec
[189] 108.0-109.0 sec  0.00 Bytes  0.00 bits/sec
[189] 109.0-110.0 sec  0.00 Bytes  0.00 bits/sec
[189] 110.0-111.0 sec  0.00 Bytes  0.00 bits/sec
[189] 111.0-112.0 sec  0.00 Bytes  0.00 bits/sec
[189] 112.0-113.0 sec  0.00 Bytes  0.00 bits/sec
[189] 113.0-114.0 sec  0.00 Bytes  0.00 bits/sec
[189] 114.0-115.0 sec  0.00 Bytes  0.00 bits/sec
[189] 115.0-116.0 sec  0.00 Bytes  0.00 bits/sec
[189] 116.0-117.0 sec  0.00 Bytes  0.00 bits/sec
[189] 117.0-118.0 sec  0.00 Bytes  0.00 bits/sec
[189] 118.0-119.0 sec  0.00 Bytes  0.00 bits/sec
[189] 119.0-120.0 sec  0.00 Bytes  0.00 bits/sec
[189] 120.0-121.0 sec  0.00 Bytes  0.00 bits/sec
[189] 121.0-122.0 sec  0.00 Bytes  0.00 bits/sec
[189] 122.0-123.0 sec  0.00 Bytes  0.00 bits/sec
[189] 123.0-124.0 sec  0.00 Bytes  0.00 bits/sec
[189] 124.0-125.0 sec  0.00 Bytes  0.00 bits/sec
[189] 125.0-126.0 sec  0.00 Bytes  0.00 bits/sec
[189] 126.0-127.0 sec  0.00 Bytes  0.00 bits/sec
[189] 127.0-128.0 sec  0.00 Bytes  0.00 bits/sec
